system_name,port_location,product_name,month_start,quantity,unit_price
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-01-01,383,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-02-01,502,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-03-01,443,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-04-01,502,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-05-01,698,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-06-01,601,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-07-01,612,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-08-01,530,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-09-01,467,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-10-01,427,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-11-01,487,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2015-12-01,356,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-01-01,485,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-02-01,518,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-03-01,601,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-04-01,630,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-05-01,403,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-06-01,416,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-07-01,602,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-08-01,695,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-09-01,515,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-10-01,456,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-11-01,436,14335
Lyrae,Langford Enterprise,Ultra-Compact Processor,2016-12-01,441,14335
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-01-01,3451,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-02-01,3577,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-03-01,4319,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-04-01,4669,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-05-01,4501,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-06-01,4494,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-07-01,4417,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-08-01,4319,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-09-01,3556,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-10-01,4123,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-11-01,2289,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2015-12-01,3024,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-01-01,3164,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-02-01,3318,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-03-01,2989,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-04-01,3059,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-05-01,4893,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-06-01,4494,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-07-01,2457,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-08-01,2821,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-09-01,3878,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-10-01,4830,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-11-01,4438,12570
Ophiuchi,Katzenstein Dock,Ophiuch Exino Artefacts,2016-12-01,3360,12570
Tauri,Porta,Tauri Chimes,2015-01-01,9571,10835
Tauri,Porta,Tauri Chimes,2015-02-01,8806,10835
Tauri,Porta,Tauri Chimes,2015-03-01,11696,10835
Tauri,Porta,Tauri Chimes,2015-04-01,8534,10835
Tauri,Porta,Tauri Chimes,2015-05-01,10761,10835
Tauri,Porta,Tauri Chimes,2015-06-01,8789,10835
Tauri,Porta,Tauri Chimes,2015-07-01,5729,10835
Tauri,Porta,Tauri Chimes,2015-08-01,8398,10835
Tauri,Porta,Tauri Chimes,2015-09-01,6698,10835
Tauri,Porta,Tauri Chimes,2015-10-01,4692,10835
Tauri,Porta,Tauri Chimes,2015-11-01,9044,10835
Tauri,Porta,Tauri Chimes,2015-12-01,11220,10835
Tauri,Porta,Tauri Chimes,2016-01-01,9469,10835
Tauri,Porta,Tauri Chimes,2016-02-01,5032,10835
Tauri,Porta,Tauri Chimes,2016-03-01,10404,10835
Tauri,Porta,Tauri Chimes,2016-04-01,10778,10835
Tauri,Porta,Tauri Chimes,2016-05-01,9401,10835
Tauri,Porta,Tauri Chimes,2016-06-01,9877,10835
Tauri,Porta,Tauri Chimes,2016-07-01,12172,10835
Tauri,Porta,Tauri Chimes,2016-08-01,12495,10835
Tauri,Porta,Tauri Chimes,2016-09-01,11101,10835
Tauri,Porta,Tauri Chimes,2016-10-01,12529,10835
Tauri,Porta,Tauri Chimes,2016-11-01,13855,10835
Tauri,Porta,Tauri Chimes,2016-12-01,9673,10835
Ceti,Glushko Station,Aepyornis Egg,2015-01-01,2290,10575
Ceti,Glushko Station,Aepyornis Egg,2015-02-01,2625,10575
Ceti,Glushko Station,Aepyornis Egg,2015-03-01,2080,10575
Ceti,Glushko Station,Aepyornis Egg,2015-04-01,2845,10575
Ceti,Glushko Station,Aepyornis Egg,2015-05-01,3355,10575
Ceti,Glushko Station,Aepyornis Egg,2015-06-01,2340,10575
Ceti,Glushko Station,Aepyornis Egg,2015-07-01,2225,10575
Ceti,Glushko Station,Aepyornis Egg,2015-08-01,1905,10575
Ceti,Glushko Station,Aepyornis Egg,2015-09-01,3130,10575
Ceti,Glushko Station,Aepyornis Egg,2015-10-01,2925,10575
Ceti,Glushko Station,Aepyornis Egg,2015-11-01,2870,10575
Ceti,Glushko Station,Aepyornis Egg,2015-12-01,3365,10575
Ceti,Glushko Station,Aepyornis Egg,2016-01-01,3675,10575
Ceti,Glushko Station,Aepyornis Egg,2016-02-01,3330,10575
Ceti,Glushko Station,Aepyornis Egg,2016-03-01,2935,10575
Ceti,Glushko Station,Aepyornis Egg,2016-04-01,2730,10575
Ceti,Glushko Station,Aepyornis Egg,2016-05-01,3015,10575
Ceti,Glushko Station,Aepyornis Egg,2016-06-01,2930,10575
Ceti,Glushko Station,Aepyornis Egg,2016-07-01,2635,10575
Ceti,Glushko Station,Aepyornis Egg,2016-08-01,2965,10575
Ceti,Glushko Station,Aepyornis Egg,2016-09-01,3135,10575
Ceti,Glushko Station,Aepyornis Egg,2016-10-01,3520,10575
Ceti,Glushko Station,Aepyornis Egg,2016-11-01,2060,10575
Ceti,Glushko Station,Aepyornis Egg,2016-12-01,2805,10575
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-01-01,7056,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-02-01,6648,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-03-01,5460,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-04-01,6432,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-05-01,5808,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-06-01,6408,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-07-01,5376,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-08-01,7524,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-09-01,4740,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-10-01,4356,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-11-01,5916,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2015-12-01,8676,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-01-01,6900,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-02-01,5172,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-03-01,7656,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-04-01,7440,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-05-01,7872,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-06-01,7392,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-07-01,6948,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-08-01,4980,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-09-01,6960,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-10-01,6924,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-11-01,6012,10756
Ceti,Kaufmanis Hub,Ceti Rabbits,2016-12-01,5808,10756
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-01-01,4536,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-02-01,4760,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-03-01,3052,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-04-01,4886,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-05-01,5838,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-06-01,4410,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-07-01,6594,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-08-01,7392,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-09-01,7714,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-10-01,5264,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-11-01,7644,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2015-12-01,8918,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-01-01,7126,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-02-01,7700,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-03-01,5838,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-04-01,5348,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-05-01,7602,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-06-01,6216,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-07-01,6440,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-08-01,7322,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-09-01,6734,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-10-01,7616,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-11-01,7014,14713
Aegaeon,Schweikart Station,Chateau De Aegaeon,2016-12-01,8204,14713
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-01-01,5061,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-02-01,2828,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-03-01,3794,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-04-01,2345,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-05-01,1645,14105
Aerial,Andrade Legacy,Eden Apples Of Aerial,2015-06-01,2303,14105
